微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数,,,,,,,,,,
J5A6l6AMm,【130款5G手机获得入网销售许可 你入手了吗？】6日，5G牌照发放一周年。工信部统计显示，我国5G基站数量以每周增加1万多个数量在增长。目前我国已建成超25万个5G基站，有130款5G手机获入网销售许可，5G终端连接数超3600万。仅4月，5G用户就增加700多万。你推荐哪款5G手机？央视新闻的微博视频  ,,无,"http://f.video.weibocdn.com/Leu8eGRplx07DQZxu1Ty01041200mlOA0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345889&ssig=GUWAybUtlk&KID=unistore,video",无,6/7/20 22:10,紫宝宝的Android,394,73,533,,,,,,,,,,
J5DUpqmbq,【物理老师徒手劈砖 网友：果然知识就是力量】2日，云南红河一位物理老师在课堂上表演徒手劈砖。据了解，视频中的老师是红河弥勒第四中学物理老师张辉。张辉老师介绍称，劈砖是对当天新课教学的一个导入，可以用动量定律来解释，表演之后学生的兴趣非常高涨！有料的秒拍视频早安！  ,,无,"http://gslb.miaopai.com/stream/YMtgEO2Ohfv91VrD5q~nREWbU3p76Cqp15dqRg__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_720p&mpflag=32&Expires=1622345887&ssig=ekmLM7JZy8&KID=unistore,video",无,6/8/20 7:52,紫宝宝的Android,1179,214,282,,,,,,,,,,
J5Eiyl2gw,【31省区市新增4例新冠肺炎：四川新增3例境外输入】6月7日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例4例，均为境外输入病例（四川3例，上海1例）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。　　当日新增治愈出院病例9例，解除医学观察的密切接触者479人，重症病例与前一日持平。　　境外输入现有确诊病例63例（无重症病例），现有疑似病例4例。累计确诊病例1780例，累计治愈出院病例1717例，无死亡病例。　　截至6月7日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例65例（无重症病例），累计治愈出院病例78341例，累计死亡病例4634例，累计报告确诊病例83040例，现有疑似病例4例。累计追踪到密切接触者747066人，尚在医学观察的密切接触者3232人。　　31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者2例（均为境外输入）；当日无转为确诊病例；当日解除医学观察37例（境外输入1例）；尚在医学观察无症状感染者201例（境外输入44例）。　　累计收到港澳台地区通报确诊病例1594例。其中，香港特别行政区1106例（出院1049例，死亡4例），澳门特别行政区45例（出院45例），台湾地区443例（出院430例，死亡7例）。                  原图                             ,,http://wx1.sinaimg.cn/large/005Y2yg1ly1gfklgqv1o2j30u03l8noh.jpg,无,无,6/8/20 8:51,紫宝宝的Android,146,28,67,,,,,,,,,,
J5EFPzJtI,"【现场视频：多国民众示威游行高喊""我不能呼吸""】连日来，乔治·弗洛伊德之死及美国社会根深蒂固的种族歧视在全球多国引发抗议。全美多地、英国、法国、德国、日本、澳大利亚等国均举行大规模示威游行，反对种族歧视和警察暴力↓央视新闻的微博视频  ",,无,"http://f.video.weibocdn.com/A3HKWCRllx07DSM69olW01041200tXr10E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345881&ssig=xCiQxtFpN%2B&KID=unistore,video",无,6/8/20 9:48,紫宝宝的Android,330,99,155,,,,,,,,,,
J5F23aEVH,【屏住呼吸！第一视角体验汽车兵连续障碍路驾驶】近日，新疆军区某师组织了一场驾驶专业比武。连续障碍路驾驶是什么体验？戳视频，第一视角带你体验汽车兵的速度与激情。系好安全带，屏住呼吸，走起！解放军报的微博视频  ,,无,"http://f.video.weibocdn.com/n7YfNlOflx07DQu7c6pq01041200vfQZ0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622345880&ssig=AFfuGjLq9m&KID=unistore,video",无,6/8/20 10:43,紫宝宝的Android,396,62,99,,,,,,,,,,
J5FA3uuOd,【美国民众发起装死抗议，密密麻麻躺满石阶】4日，在美国宾夕法尼亚州费城艺术博物馆前的石阶上，成百上千抗议者躺倒模仿死尸。“装死抗议”持续了8分46秒，与弗洛伊德遭跪压锁喉的时长相同。期间，抗议者集体高呼“I can’t breathe”（我无法呼吸）！微丢的微博视频  ,,无,"http://f.video.weibocdn.com/002WRSkLgx07DR0yyEy4010412009CzI0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345879&ssig=hIOSygVVhs&KID=unistore,video",无,6/8/20 12:07,紫宝宝的Android,485,103,192,,,,,,,,,,
J5GcpALbg,【为了生命！女子遇车祸9分钟前被交警拦下扣好头盔】近日，浙江建德一女子骑电动车与摩托车相撞，被甩出去6米多远，头也狠狠砸在水泥地上。9分钟前，女子头盔安全扣没扣好，交警将其拦下，并协助她扣好了安全扣，这一拦救了她一命！央视新闻的微博视频  ,,无,"http://f.video.weibocdn.com/q3aKbQldlx07DRuJBMV201041200fNjK0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345878&ssig=m6Av3QO7Tz&KID=unistore,video",无,6/8/20 13:41,紫宝宝的Android,876,96,207,,,,,,,,,,
J5GH30g2h,"【巩固防控成果！卫健委公布应检尽检八类人群】8日，国家卫健委发布意见，要求重点人群""应检尽检""，包括：密切接触者、境外入境人员、发热门诊患者、新住院患者及陪护人员、医疗机构工作人员、口岸检疫和边防检查人员、监所工作人员和社会福利养老机构工作人员。另外，其他人群""愿检尽检""！  原图 ",,http://wx2.sinaimg.cn/large/005Y2yg1ly1gfkw1ds2inj30f08efb2a.jpg,无,无,6/8/20 14:57,紫宝宝的Android,242,67,29,,,,,,,,,,
J5GQcjjkz,【中方回应中国隐瞒疫情：中国抗疫没有任何延误和隐瞒】国家卫生健康委主任马晓伟：中国政府没有任何延误和隐瞒，而是在第一时间向国际社会通报了病毒数据和相关疫情，为世界的防控工作作出了重要的贡献！人民日报的微博视频  ,,无,"http://f.video.weibocdn.com/QILT0yM7lx07DSkGOrhS01041200Qthc0E010.mp4?label=mp4_hd&template=852x482.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345876&ssig=FeYTanultE&KID=unistore,video",无,6/8/20 15:19,紫宝宝的Android,678,82,167,,,,,,,,,,
J5HlbzZ9B,"【你可能被偷窥了！记者调查手机App频繁自启动搜集隐私】近日有网友发现自己手机上安装的很多App存在频繁自启动，访问、读取手机信息的现象。其中一款移动教学软件""优学院""十几分钟访问手机照片和文件近两万五千次；另一款办公软件""TIM""一小时内尝试自启动近7000次。戳↓http://t.cn/A621ko73  ",,无,无,无,6/8/20 16:36,紫宝宝的Android,1286,158,272,,,,,,,,,,
J5HBHubE2,【警方通报女子用自行车撞击并掌掴女童：系母亲打骂体罚女儿】近日，网传一则女子用自行车撞击掌掴女童视频。8日，@西安网警巡查执法 通报：系母亲打骂体罚女儿，西安警方已对该女子批评教育。警方通报全文↓  原图 ,,http://wx2.sinaimg.cn/large/005Y2yg1ly1gfkzbys0haj30v93k3kh4.jpg,无,无,6/8/20 17:17,紫宝宝的Android,1617,356,322,,,,,,,,,,
J5HQjuuwq,【抗议升级！英抗议者推倒奴隶贩子雕塑并扔进河里】当地时间7日，英国布里斯托的反种族主义抗议者推倒了17世纪奴隶贩子爱德华·科尔斯顿的雕像。抗议者用绳子把这座1895年首次建造的铜像绑起来，然后在周围人群的欢呼声中把它拉下来。示威者随后将雕像滚到附近的港口扔进了河里！海客新闻的微博视频  ,,无,"http://f.video.weibocdn.com/pujS7WF3lx07DTGO1zQk01041200uwSW0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345875&ssig=4BctWwqYSZ&KID=unistore,video",无,6/8/20 17:53,紫宝宝的Android,1198,123,172,,,,,,,,,,
J5Ia5uoqa,【华春莹说美议员有证据就拿出来不用羞答答】近日，美国共和党参议员斯科特受访时称，美方有证据表明中国正试图破坏或延缓西方国家研发新冠肺炎疫苗，不希望美国率先研发出疫苗，但拒绝透露证据细节。对此，华春莹表示，这位议员既然说美方有证据表明中方试图破坏西方国家研发新冠肺炎疫苗，那么就请他拿出证据来，不用羞羞答答。美方编造对中国的各种诬陷、造谣、抹黑、诽谤，实在太多了。不知道美国国内，针对这样一些人对其他国家肆无忌惮造谣和诽谤，有没有任何法律约束？央视新闻的微博视频                                 ,,无,无,无,6/8/20 18:41,紫宝宝的Android,1484,236,144,,,,,,,,,,
J5IEP8NUv,【财政部副部长：去海南旅游多带点钱准备剁手吧】财政部副部长邹加怡：零关税是海南自贸港的重要制度设计。在2025年海南全岛封关运作前，率先对部分进口商品实施零关税，免征进口关税、进口环节增值税和消费税。此外，大幅放宽离岛免税购物政策，海南离岛免税购物限额提至10万元每人每年，进一步扩大免税商品种类！央视新闻的微博视频                                 ,,无,"http://f.video.weibocdn.com/7FbuW4LDlx07DTUAAjos01041200DE5e0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345866&ssig=iqBAoncfMI&KID=unistore,video",无,6/8/20 19:57,紫宝宝的Android,883,158,156,,,,,,,,,,
J5IScxzU1,【杭州公交车增设手机充电口】近日，杭州多条公交线路新增手机充电接口，插上手机数据线就可以随时给手机充电。据了解，截至本月底，杭州将有550辆配备USB充电接口的公交车投放运营，年底前会完成1280辆投放。你认为公交车上要设置手机充电口吗？浙江新闻频道的微博视频  ,,无,"http://f.video.weibocdn.com/003fx4Xwgx07DMaEuUHd010412008fGe0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622345859&ssig=Ym1UReoPsh&KID=unistore,video",无,6/8/20 20:30,紫宝宝的Android,761,53,200,,,,,,,,,,
J5J65Ddvw,【华春莹就香港问题向蓬佩奥连发三问】华春莹：在英国对香港156年殖民统治期间，香港有过民主和自由吗？28位港督当中，哪一位是由香港民众选举产生的？那个时候港人有上街抗议示威的自由吗？美方个别政客关心的并非香港所谓自由权利，而是为所欲为地破坏中国国家安全自由！央视新闻的微博视频  ,,无,无,无,6/8/20 21:04,紫宝宝的Android,1722,194,168,,,,,,,,,,
J5Jk4x8df,【民航局：暂停上海作为北京国际航班第一入境点】根据疫情变化，自6月8日零时（北京时间）开始，目的地为北京的国际客运航班指定第一入境点调整为：成都、长沙、合肥、兰州、天津、石家庄、太原、呼和浩特、济南、青岛、南京、沈阳、大连、郑州、西安、武汉共16个，其中武汉为备用入境点！  原图 ,,http://wx3.sinaimg.cn/large/005Y2yg1ly1gfl7mrq8qoj30ip147jwu.jpg,无,无,6/8/20 21:39,紫宝宝的Android,841,98,140,,,,,,,,,,
J5Jz6AxQL,"【2020级熊猫新生来啦！成都熊猫基地新生两只幼仔】6月5日，成都大熊猫繁育研究基地的大熊猫""园润""和""艾莉""各自诞下了一只雌性大熊猫幼仔。两只幼仔非常健康，活力很强，均能自主吃到母乳。其中""艾莉""的孩子是成都熊猫基地诞生最重宝宝，达到219克！PANDAPIA的微博视频  ",,无,"http://f.video.weibocdn.com/000EfueCgx07DTR2ayk701041200nbhw0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345857&ssig=2SiGPWzdxX&KID=unistore,video",无,6/8/20 22:16,紫宝宝的Android,960,194,232,,,,,,,,,,
J5NzGijQu,【确认过眼神，是刑警想要的人】近日，福建莆田市公安局两位刑警下班回家时，路遇一戴口罩红衣男子。擦身而过后，刑警觉得男子的眼神体态很像一电信诈骗案在逃人员，便折返悄悄跟上。男子发觉后，拔腿狂奔，刑警紧追，将其抓获。网友：这追捕过程，也太真实太刺激了↓央视新闻的微博视频  ,,无,"http://f.video.weibocdn.com/FEwEkqqOlx07DO4JRDyg01041200d8rY0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345854&ssig=DvH%2BxoqbZf&KID=unistore,video",无,6/9/20 8:28,紫宝宝的Android,2890,156,350,,,,,,,,,,
J5NUxkoQv,"【示威、疫情交织，八成受访美国人认为国家已失控】近日，非裔男子之死引发的大规模抗议在全美各地持续，加之持续蔓延的新冠疫情，约80%接受调查的美国选民在一项民调中表示，目前国家情况已""失控""。民意调查中大多数选民，仍对新冠病毒传播和经济状况感到担忧！示威与疫情交织 民调：80%受访美国人认为国家已“失控”  原图 ",,http://wx2.sinaimg.cn/large/005Y2yg1ly1gfktycvcokj30jg0cwwfy.jpg,无,无,6/9/20 9:19,紫宝宝的Android,366,80,97,,,,,,,,,,
J5OmwpmX5,【习近平：脱贫、全面小康、现代化，一个民族都不能少】8日傍晚，习近平总书记来到宁夏吴忠市利通区金花园社区考察。这个社区常住居民13000多人，其中近一半是少数民族。习近平同居民们亲切交流，他说：“中华人民共和国是一个多民族的社会主义大家庭，在你们的社区就体现出来了，回族、汉族为主的多民族社区。刚才我看到你们这个社区很好的经验，特别是民族之间和睦的关系，这是我最希望看到的。我们都是中华民族大家庭中的一份子。脱贫、全面小康、现代化，一个民族都不能少，我们都是携手并进。这体现五千年的中华文明，也体现我们中国特色社会主义制度的优越性。”央视新闻的微博视频                                 ,,无,"http://f.video.weibocdn.com/mi2NiUcslx07DVob2M9a01041200hfUY0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345853&ssig=FypChCGiIZ&KID=unistore,video",无,6/9/20 10:28,紫宝宝的Android,967,138,158,,,,,,,,,,
J5PdFvOel,【朝鲜宣布彻底切断朝韩通讯联络线】据朝中社报道，当地时间6月9日12时起，朝方有关部门彻底断绝并废除通过朝韩共同联络办公室一直维持的朝韩通讯联络线、朝韩军方之间的东西海通讯联络线、朝韩通讯试验联络线、朝鲜劳动党中央本部大楼和青瓦台之间的热线通讯联络线。（央视）  原图 ,,http://wx4.sinaimg.cn/large/005Y2yg1ly1gflryfmdmqj30qo0j3wgt.jpg,无,无,6/9/20 12:39,紫宝宝的Android,422,89,96,,,,,,,,,,
J5PFscDJM,【离开手术台的医生陶勇有了新角色】陶勇医生的左手因神经和肌腱被砍断，至今仍未恢复知觉。曾经的他“最多时1天做过86场手术”，如今吃饭都有些笨拙。“就像爬山不小心被石头绊倒了，站起来继续走。”他开始用23年的医学知识储备，做科研、公益和科普直播↓ 央视新闻的微博视频  ,,无,"http://f.video.weibocdn.com/2TrC1xjBlx07DSq1pWEw01041201Mac10E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345846&ssig=KzENCHyPcz&KID=unistore,video",无,6/9/20 13:48,紫宝宝的Android,1531,185,170,,,,,,,,,,
J5Q9NjLjc,【多所高校全额退宿舍费】今日，中南大学宣布免收春学期住宿费，对已缴纳的住宿费予以全额退费。此前，山东、广东已有多所高校发布公告，将结合学校实际情况，免缴春学期按5个月计算住宿费，已缴住宿费将退还。详戳↓  [组图共6张] 原图 ,,"http://ww4.sinaimg.cn/large/005Y2yg1ly1gflzuhbucjj30dc12un0e.jpg,http://ww4.sinaimg.cn/large/005Y2yg1ly1gfm1tf1u39j309s12otas.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1gfm1tfmi26j30fp12in1j.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1gfm1tfztovj30dj12ltby.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1gfm1tgbe3pj309b12mq52.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1gfm1th1s2sj30qo0ilq61.jpg",无,无,6/9/20 15:02,紫宝宝的Android,536,93,196,,,,,,,,,,
J5Que64Xs,"【直播平台借免费网课向学生推广网游】今年2月初，虎牙直播称""停课不停学""，开通免费上网课渠道。然而，在虎牙直播App中，一打开，首先弹出的却是各种网游兴趣选项，学习栏目被放在最后，要进行网络学习，先要浏览大量游戏、交友信息；所谓的免费网课页面中，也有大量精心包装的游戏广告。类似的情况也出现在斗鱼平台↓央视新闻的微博视频                                 ",,无,"http://f.video.weibocdn.com/Nexlb2Bdlx07DU8NYcTK01041200YlTW0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345845&ssig=cb4cZ6werL&KID=unistore,video",无,6/9/20 15:53,紫宝宝的Android,1372,96,266,,,,,,,,,,
J5QOW3hrd,【汽车兵硬核比武现场！网友：看完怀疑自己驾照是假的】连续障碍路驾驶、原地紧急调头、高速连续绕弯...这些不是电影里的特技，而是汽车兵的日常训练课目。近日，新疆军区某合成师组织了一场驾驶专业比武，戳视频感受硬核现场↓↓第一军视的微博视频  ,,无,"http://f.video.weibocdn.com/uFbChmLzlx07DPL2zune01041200yLZB0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622345838&ssig=CVtzLMtyGZ&KID=unistore,video",无,6/9/20 16:44,紫宝宝的Android,499,111,104,,,,,,,,,,
J5Rmlp9kO,【英国首相强硬喊话示威者】当地8日晚，英国首相约翰逊发布视频，针对近期英国境内出现的反种族主义游行示威活动表示，弗洛伊德的死亡发生在另一个国家，而当下英国需要团结起来抗疫，不支持无视社交距离规则、毁坏公共建筑、袭击警察的行为。毁坏公共建筑和袭警将受法律制裁！海客新闻的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/75m2cweYlx07DVeaN1aE01041200ytZH0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345837&ssig=Y5Ox0eJ3Qc&KID=unistore,video",无,6/9/20 18:06,紫宝宝的Android,747,56,185,,,,,,,,,,
J5RuOqTe1,【31省区市新增新冠肺炎3例】6月8日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例3例，均为境外输入病例（广东2例，四川1例）；无新增死亡病例；无新增疑似病例。　　当日新增治愈出院病例10例，解除医学观察的密切接触者396人，重症病例与前一日持平。　　境外输入现有确诊病例57例（无重症病例），现有疑似病例1例。累计确诊病例1783例，累计治愈出院病例1726例，无死亡病例。　　截至6月8日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例58例（无重症病例），累计治愈出院病例78351例，累计死亡病例4634例，累计报告确诊病例83043例，现有疑似病例1例。累计追踪到密切接触者747232人，尚在医学观察的密切接触者2971人。　　31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者21例（境外输入2例）；当日转为确诊病例1例（境外输入1例）；当日解除医学观察47例（境外输入2例）；尚在医学观察无症状感染者174例（境外输入43例）。　　累计收到港澳台地区通报确诊病例1595例。其中，香港特别行政区1107例（出院1049例，死亡4例），澳门特别行政区45例（出院45例），台湾地区443例（出院430例，死亡7例）。                  原图                             ,,http://wx4.sinaimg.cn/large/005Y2yg1ly1gfm7qaa337j30u03izx5n.jpg,无,无,6/9/20 18:27,紫宝宝的Android,131,22,20,,,,,,,,,,
J5RCs9aaO,【送别！107岁老红军王定国逝世】据央视，今天11时06分，老一辈无产阶级革命家、谢觉哉同志夫人、老红军王定国因病在北京去世，享年107岁。王定国1933年10月参加中国工农红军，同年12月加入中国共产党。1934年10月她随红四方面军参加了三过雪山草地的艰苦两万五千里长征。一路走好！  原图 ,,http://wx2.sinaimg.cn/large/005Y2yg1ly1gfm89kg8p5j30ov12ctbf.jpg,无,无,6/9/20 18:46,紫宝宝的Android,1837,320,419,,,,,,,,,,
J5RRozVie,【特朗普揭伊拉克没有杀伤性武器】近日，美国总统特朗普与前国务卿鲍威尔隔空互怼，并在愤怒中揭露了中东战争的真相。特朗普说，伊拉克没有大规模杀伤性武器，“我们却去打了一仗！”7日，鲍威尔接受CNN采访时，指责特朗普偏离美国宪法，损害美国形象↓央视新闻的微博视频  ,,无,无,无,6/9/20 19:23,紫宝宝的Android,2915,314,307,,,,,,,,,,
J5S2Y2Nc5,【教育部提醒谨慎赴澳返澳学习】教育部2020第1号留学预警：近期，澳大利亚主要高校计划于7月前后陆续开学。全球新冠肺炎疫情扩散蔓延势头没有得到有效控制，国际旅行和开放校园存在风险。疫情期间，澳大利亚发生多起针对亚裔的歧视性事件。提醒广大留学人员做好风险评估，当前谨慎选择赴澳返澳学习！  原图 ,,http://wx1.sinaimg.cn/large/005Y2yg1ly1gfm8eecmrlj30qo0ydtcn.jpg,无,无,6/9/20 19:51,紫宝宝的Android,915,140,122,,,,,,,,,,
J5SpK6o3i,美控制机器人账号散布中国制造病毒论被揭底，华春莹：比病毒更可怕！人民视频的微博视频  ,,无,"http://f.video.weibocdn.com/ZLvNtLuulx07DVSmmUbC010412007j3a0E010.mp4?label=mp4_hd&template=480x852.24.0&trans_finger=7c347e6ee1691b93dc7e5726f4ef34b3&Expires=1622345827&ssig=8yDBGJcDkC&KID=unistore,video",无,6/9/20 20:47,紫宝宝的Android,4233,1349,255,,,,,,,,,,
J5SYPvEh3,【扩散周知！未来10天南方多强降雨】中央气象台发布，未来10天，广东、广西、湖南、湖北、安徽、江苏、江西、云南等地多强降雨。其中，广西北部局地将伴有雷暴大风、短时强降水等对流天气。注意防范！  [组图共4张] 原图 ,,"http://ww2.sinaimg.cn/large/005Y2yg1ly1gfmea47pdqj30j60fzwh0.jpg,http://ww1.sinaimg.cn/large/005Y2yg1ly1gfmea4thvij30j60fz76x.jpg,http://ww3.sinaimg.cn/large/005Y2yg1ly1gfmea57wmdj30j60fz0vb.jpg,http://ww2.sinaimg.cn/large/005Y2yg1ly1gfmea5o54tj30j60fz40y.jpg",无,无,6/9/20 22:14,紫宝宝的Android,394,154,220,,,,,,,,,,
J5WVu2D57,【倒数第一小学生考倒数第二 妈妈的反应很暖心】近日，成都一位网友分享了自己接孩子放学的视频。孩子兴高采烈地说自己有一个好消息一个坏消息。好消息是自己考了倒数第二名，坏消息是没有考及格。网友感慨：“家长和孩子心态都很好，快乐最重要！”你怎么看？燃新闻的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/tvld7jZ2lx07DQvZNiXK01041200hMsD0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345825&ssig=XDDrAbsI4a&KID=unistore,video",无,6/10/20 8:16,紫宝宝的Android,3986,195,706,,,,,,,,,,
J5XecqTMU,【31省区市新增新冠肺炎3例：均为境外输入】6月9日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例3例，均为境外输入病例（内蒙古2例，天津1例）；无新增死亡病例；新增疑似病例1例，为境外输入病例（上海1例）。　　当日新增治愈出院病例6例，解除医学观察的密切接触者527人，重症病例无变化。　　境外输入现有确诊病例54例（无重症病例），现有疑似病例2例。累计确诊病例1786例，累计治愈出院病例1732例，无死亡病例。　　截至6月9日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例55例（无重症病例），累计治愈出院病例78357例，累计死亡病例4634例，累计报告确诊病例83046例，现有疑似病例2例。累计追踪到密切接触者747680人，尚在医学观察的密切接触者2892人。　　31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者5例（境外输入5例）；当日无转为确诊病例；当日解除医学观察24例（境外输入1例）；尚在医学观察无症状感染者155例（境外输入47例）。　　累计收到港澳台地区通报确诊病例1595例。其中，香港特别行政区1107例（出院1050例，死亡4例），澳门特别行政区45例（出院45例），台湾地区443例（出院431例，死亡7例）。                  原图                             ,,http://wx3.sinaimg.cn/large/005Y2yg1ly1gfmx1a7gyvj30u038jx39.jpg,无,无,6/10/20 9:03,紫宝宝的Android,204,72,49,,,,,,,,,,
J5YjbApcf,【29颗北斗卫星已完成星间链路测试】日前，西安卫星测控中心完成29颗已入网工作的北斗三号卫星星间链路测试工作，确保全球组网如期完成。今年是北斗全球系统建设收官之年。目前，最后一颗全球组网卫星已运抵西昌卫星发射中心，计划本月择机发射。期待！央视军事的微博视频  ,,无,"http://f.video.weibocdn.com/txmVkf8ylx07DVPUAZuU010412008RuP0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1622345819&ssig=SC0EtV7DFa&KID=unistore,video",无,6/10/20 11:48,紫宝宝的Android,820,198,128,,,,,,,,,,
J5YuDpbLk,【小区业主高空抛物未伤人也被刑拘】据@安徽公安在线 通报：近日，安徽舒城某小区一业主因酒后发泄不满情绪，在六楼自家阳台处将花盆、椅子等物从高空扔向地面，虽未伤及行人，但危险性极大，引起小区居民不满和愤怒。5日，犯罪嫌疑人袁某被警方刑事拘留。警方提醒：如遇高空坠物伤害，保全证据，及时报警！安徽公安在线的微博视频                                 ,,无,无,无,6/10/20 12:16,紫宝宝的Android,944,81,175,,,,,,,,,,
J5YEqzE6P,【航拍多国反种族歧视抗议，成千上万人涌上街头场面震撼】上周末，在美国数十个城市，成千上万人涌上街头，抗议种族主义和警察暴力执法。德国、英国、法国、澳大利亚等多个国家，也暴发大规模示威活动，反对种族歧视↓↓ 海客新闻的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/aPRnUCsIlx07DVrnfrAA01041200r1dC0E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345811&ssig=whpjeI7tgi&KID=unistore,video",无,6/10/20 12:40,紫宝宝的Android,704,97,157,,,,,,,,,,
J5ZeWmbG7,"【国家文物局回应武大老牌坊被撞】国家文物局刊文：6日凌晨，""国立武汉大学""牌坊被一水泥罐车冲撞，局部受损。经核实，事故原因系湖北某商品混凝土有限公司一辆水泥搅拌车前往湖北省妇幼保健医院打混凝土时，为图方便，司机欲从劝业场路绕道医院后门，在驾驶过程中导致车辆罐体顶端与""国立武汉大学""牌坊下沿相撞，造成文物受损。事故发生后，交警迅速赶到现场，控制车辆和驾驶人，管控涉案公司及其负责人。目前，肇事司机和涉案公司负责人正在接受进一步调查，肇事车辆已被暂扣；肇事司机已被移交公安机关，因涉嫌过失损毁文物罪被依法刑事立案！                  原图                             ",,http://wx2.sinaimg.cn/large/005Y2yg1ly1gfm8hwpqmhj30of0xeaht.jpg,无,无,6/10/20 14:10,紫宝宝的Android,1897,72,144,,,,,,,,,,
J5ZvPAY9P,"【海斗一号成功进行万米海试】近日，我国""探索一号""科考船完成马里亚纳海沟深渊科考任务后顺利返港。在航次中，全海深自主遥控潜水器""海斗一号""，刷新我国潜水器下潜深度纪录；完成首次万米海试与试验性应用任务，取得多项重大突破，填补我国万米级作业型无人潜水器空白！央视新闻的微博视频  ",,无,"http://f.video.weibocdn.com/duJT7jVmlx07DUyGZR3q01041200dMaL0E010.mp4?label=mp4_hd&template=640x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345803&ssig=UmboeNkMpE&KID=unistore,video",无,6/10/20 14:51,紫宝宝的Android,522,98,99,,,,,,,,,,
J5ZNw86ye,【男童迷路幸好遇到5名小姐姐为她们点赞！】近日，厦门一3岁男孩偷跑出门，母亲寻找未果后报警，没想到接线员回复说孩子已在派出所。原来，男孩光脚在路上迷路后，被莲花中学5名初一女生遇到，她们找路人报警，一直照顾着孩子，直到民警把孩子接走才离开！正能量News的秒拍视频  ,,无,"http://miaopai.video.weibocdn.com/PY2MI9aJlx07DVvbQCLm01041200jdb50E013.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1622345802&ssig=oC%2BQ40Kce1&KID=unistore,video",无,6/10/20 15:35,紫宝宝的Android,3857,271,320,,,,,,,,,,
