日期,热搜标题,热度,标签,新冠（0/1）,回应,Label-level-1,Label-level-2,Label-level-3
2020年02月23日23点数据,院长妈妈哽咽嘱咐逆行医护,381671,政绩类-模范,,,,,
2019年11月27日23点数据,校友回应为母校捐赠10头猪,214114,软新闻-休闲,,回应,,,
2020年12月09日11点数据,港媒报道丁真是吴彦祖金城武合体,1189239,软新闻-娱乐圈,,,,,
2020年12月23日11点数据,易烊千玺2020日常碎片vlog,823777,软新闻-娱乐圈,,,,,
2020年02月10日23点数据,贵州一药企被罚180万元,314671,社会热点-社会热点,,,,,
2020年02月07日11点数据,北京2月20日后公布考研初试成绩,137457,软新闻-休闲,,,,,
2020年08月02日11点数据,贵州岜沙苗寨云瀑,136300,软新闻-休闲,,,,,
2020年03月12日11点数据,3省份新增6例境外输入病例,263703,社会热点-趋势,1,,,,
2020年04月07日23点数据,郭老师,527157,软新闻-娱乐圈,,,,,
2020年02月10日23点数据,新冠肺炎潜伏期最长24天,413980,社会热点-社会热点,1,,,,
2020年10月18日11点数据,任豪,1976034,软新闻-娱乐圈,,,,,
2020年11月07日11点数据,西安地铁,254927,软新闻-休闲,,,,,
2020年05月25日23点数据,女孩玩高空项目坠落多处骨折,273735,软新闻-休闲,,,,,
2020年09月06日11点数据,未来新冠疫苗应优先为特定人群接种,110231,软新闻-休闲,1,,,,
2020年10月07日23点数据,在一起之口罩,204934,软新闻-娱乐圈,,,,,
2020年09月14日11点数据,全国超半数5G核心人才在上海,282849,社会热点-社会热点,,,,,
2020年02月23日11点数据,山东点亮16地市地标建筑大屏,626461,社会热点-社会热点,,,,,
2019年12月11日11点数据,驻澳门部队官兵准时升起五星红旗,485692,社会热点-社会热点,,,,,
2020年04月18日11点数据,数字人民币封闭测试,211562,社会热点-社会热点,,,,,
2020年08月09日23点数据,毛不易 无问,648283,软新闻-娱乐圈,,,,,
2020年02月17日11点数据,东京奥组委称奥运会将如期举行,770302,国际新闻-国际新闻（与中国无关）,,,,,
2020年07月08日11点数据,衡水中学考生早上6点正常跑操,1927088,软新闻-休闲,,,,,
2020年07月13日11点数据,2020高考网上咨询周,644049,软新闻-休闲,,,,,
2020年09月23日23点数据,陕西高校为新生打造小清新宿舍,483165,软新闻-休闲,,,,,
2020年09月23日11点数据,男孩家离学校太近写不出作文大哭,416675,软新闻-休闲,,,,,
2020年02月25日11点数据,蒋亦元院士逝世,428620,政绩类-模范,,,,,
2020年02月16日23点数据,想见你 编剧,1186031,软新闻-娱乐圈,,,,,
2020年10月11日23点数据,央视正告台独分子,991674,社会热点-社会热点,,,,,
2020年05月11日11点数据,扬州发烧友制作4吨重航母模型,153807,社会热点-社会热点,,,,,
2020年01月05日11点数据,王耀庆表情,1111248,软新闻-娱乐圈,,,,,
2020年11月14日11点数据,窪寺昭去世,422132,软新闻-娱乐圈,,,,,
2020年11月10日23点数据,小李子身材,639049,软新闻-娱乐圈,,,,,
2019年12月28日23点数据,镇魂街第二季,372687,软新闻-娱乐圈,,,,,
2020年11月25日23点数据,王骁谈判时的表现,537629,软新闻-娱乐圈,,,,,
2020年08月26日11点数据,独行侠vs快船,140318,软新闻-娱乐圈,,,,,
2020年02月05日11点数据,广东新增73例新型肺炎,1164836,社会热点-趋势,1,,,,
2020年09月04日11点数据,央视中秋晚会首波阵容,1526341,软新闻-娱乐圈,,,,,
2020年07月16日11点数据,釜山行2,2145604,软新闻-娱乐圈,,,,,
2020年01月30日23点数据,Kaia,798808,软新闻-娱乐圈,,,,,
2020年05月11日11点数据,papi酱,6091619,软新闻-娱乐圈,,,,,
2020年09月12日23点数据,福奇不同意特朗普疫情将尽说法,922416,社会热点-社会热点,1,,,,
2020年06月27日23点数据,假如林黛玉活在现代,156541,软新闻-休闲,,,,,
2020年05月01日23点数据,高校老师疑毒杀猫狗被停职,207974,社会热点-丑闻,,,,,
2020年02月17日11点数据,想见你大结局,255376,软新闻-娱乐圈,,,,,
2020年11月06日23点数据,顾沅是凶手,357651,软新闻-休闲,,,,,
2020年04月05日23点数据,重庆云阳发生非洲猪瘟疫情,1372868,社会热点-灾难,1,,,,
2020年12月23日11点数据,篮网大胜勇士,247178,软新闻-娱乐圈,,,,,
2020年06月07日11点数据,孙芮给孔雪儿发链接抛弃观众,181566,软新闻-娱乐圈,,,,,
2020年03月28日23点数据,8个新冠肺炎病区关闭,1468574,社会热点-社会热点,1,,,,
2020年11月09日23点数据,淇淇老公,556448,软新闻-娱乐圈,,,,,
2019年11月28日11点数据,杭州地铁1号线,314412,软新闻-休闲,,,,,
2020年12月19日23点数据,伊能静刘端端 风中有朵雨做的云,247441,软新闻-娱乐圈,,,,,
2020年06月30日23点数据,黄轩女朋友,456274,软新闻-娱乐圈,,,,,
2019年11月23日23点数据,印尼给学生发2000只鸡戒手机瘾,204529,国际新闻-国际新闻（与中国无关）,,,,,
2020年02月22日23点数据,火神山医院ICU病床上的军礼,480547,政绩类-爱国节日成就,,,,,
2020年01月06日11点数据,校长回应女生学校扫雪冻伤,201809,社会热点-社会热点,,回应,,,
2020年02月25日23点数据,自制鸡米花,374729,软新闻-休闲,,,,,
2020年05月03日11点数据,林君怡卡点,318163,软新闻-娱乐圈,,,,,
2020年03月25日11点数据,广东新增境外输入确诊病例5例,296087,社会热点-趋势,1,,,,
2020年07月20日11点数据,二十不惑,176413,软新闻-娱乐圈,,,,,
2019年12月18日11点数据,为梓乐让出生命通道,632484,社会热点-社会热点,,,,,
2020年07月05日23点数据,虞书欣为张艺凡打call,393550,软新闻-娱乐圈,,,,,
2020年12月20日11点数据,唐山一密接者曾与北京病例同乘电梯,656768,社会热点-社会热点,1,,,,
2020年01月14日23点数据,圆周率项链,428183,软新闻-休闲,,,,,
2020年11月10日23点数据,被郑爽甜到姨母笑,782758,软新闻-娱乐圈,,,,,
2020年04月27日23点数据,创造营2020定档,219899,软新闻-娱乐圈,,,,,
2019年12月16日23点数据,林郑月娥,2530223,软新闻-娱乐圈,,,,,
2020年01月04日23点数据,杨千嬅演唱会,265128,软新闻-娱乐圈,,,,,
2020年06月12日23点数据,LPL夏季赛,111814,软新闻-娱乐圈,,,,,
2020年06月08日11点数据,四川公布3例境外输入详情,144758,社会热点-趋势,,,,,
2020年11月18日23点数据,娱乐圈中的高情商对话,313732,软新闻-休闲,,,,,
2020年10月07日23点数据,17岁美国少女打破世界最长腿纪录,1831779,软新闻-休闲,,,,,
2020年12月15日11点数据,鬼压床的温馨解读,238362,软新闻-休闲,,,,,
2020年01月23日23点数据,湖北中小学开学确定延期,1156833,软新闻-休闲,,,,,
2020年03月12日11点数据,中国以外累计确诊新冠肺炎37371例,256501,国际新闻-国际新闻（与中国无关）,1,,,,
2020年04月28日11点数据,和对象一起长胖是啥体验,157959,软新闻-休闲,,,,,
2020年04月16日11点数据,国际油价跌破20美元,356947,社会热点-经济,,,,,
2020年08月28日23点数据,亲爱的自己,611203,软新闻-娱乐圈,,,,,
2020年04月07日11点数据,英国警察Rap宣传居家隔离,165715,国际新闻-国际新闻（与中国无关）,,,,,
2020年10月19日11点数据,如何拥有正确的原生家庭观,179753,软新闻-休闲,,,,,
2020年03月26日11点数据,美国新冠肺炎确诊病例已达62086例,2193876,国际新闻-国际新闻（与中国无关）,1,,,,
2019年12月06日11点数据,东京奥运圣火传递起点辐射超标,155712,国际新闻-国际新闻（与中国无关）,,,,,
2020年12月17日11点数据,川渝人狂吃不胖的原因,195025,软新闻-休闲,,,,,
2020年08月30日11点数据,赵丽颖喊杜华大姐,253840,软新闻-娱乐圈,,,,,
2019年12月31日11点数据,55个瞬间回顾即将过去的2019,94970,软新闻-休闲,,,,,
2020年07月20日23点数据,吴宣仪的御敏诀窍,2984395,软新闻-娱乐圈,,,,,
2019年12月01日23点数据,郭麒麟模仿毛不易看周震南,1198035,软新闻-娱乐圈,,,,,
2019年12月22日23点数据,猫咪遇上锡纸会有什么反应,325344,软新闻-休闲,,,,,
2020年09月08日23点数据,圆明园一流散文物今回归,254346,软新闻-休闲,,,,,
2020年02月26日11点数据,老师的求生欲有多强,173401,软新闻-休闲,,,,,
2020年05月18日23点数据,李佳琦小助理微博改名付鹏,1967791,软新闻-娱乐圈,,,,,
2020年10月03日11点数据,王俊凯出题全是黄晓明的点,226114,软新闻-娱乐圈,,,,,
2019年12月14日11点数据,厦门地面塌陷坠坑轿车被吊出,1394291,软新闻-休闲,,,,,
2020年12月22日11点数据,猫能有多傻,440146,软新闻-休闲,,,,,
2019年12月13日23点数据,农民工怕弄脏公交坐地上,906435,软新闻-休闲,,,,,
2020年05月10日23点数据,相信未来义演,261545,软新闻-休闲,,,,,
2020年10月31日23点数据,四个导演都选了丁程鑫,1805918,软新闻-娱乐圈,,,,,
2019年12月27日23点数据,KBS导播,1243579,软新闻-休闲,,,,,
2020年09月03日11点数据,村民吃哄抢榴莲食物中毒原因查明,76244,社会热点-社会热点,,,,,
2020年06月02日11点数据,被苏沐气死,240516,软新闻-娱乐圈,,,,,
2019年12月05日11点数据,唐山地震,3642411,社会热点-灾难,,,,,
2020年05月15日23点数据,中信证券董事长张佑君被限制高消费,132730,社会热点-社会热点,,,,,
2020年02月10日11点数据,开工大吉,505707,软新闻-休闲,,,,,
2020年04月20日23点数据,山西一元代古桥被破坏性修复,378724,社会热点-社会热点,,,,,
2020年04月12日23点数据,英国赛车传奇斯特林莫斯去世,209004,国际新闻-国际新闻（与中国无关）,,,,,
2020年06月22日23点数据,三叉戟预告 大棍子,171442,软新闻-娱乐圈,,,,,
2020年04月06日11点数据,被解职舰长确诊感染新冠肺炎,531458,社会热点-社会热点,1,,,,
2020年01月19日23点数据,小鸡拜年得敬业福,2540493,软新闻-休闲,,,,,
2020年08月09日23点数据,茂名被逼婚少女爷爷发声,814021,社会热点-社会热点,,,,,
2020年01月26日23点数据,我的春节假期安排,480919,软新闻-休闲,,,,,
2020年03月25日11点数据,哈佛大学校长夫妇确诊新冠肺炎,803652,国际新闻-国际新闻（与中国无关）,1,,,,
2020年06月30日11点数据,国安法,418552,社会政策-政府政策,,,,,
2020年09月30日23点数据,放假啦,106940,软新闻-休闲,,,,,
2020年07月28日23点数据,张文宏称正在研究新冠特效药,200871,政绩类-模范,1,,,,
2020年05月25日11点数据,你被迫学会了哪些社交常识,131496,软新闻-休闲,,,,,
2020年03月16日11点数据,黑娃,276145,软新闻-娱乐圈,,,,,
2020年01月18日23点数据,大年初一预售票房破亿,253790,软新闻-休闲,,,,,
2019年12月10日11点数据,治愈系蓝朋友,4328164,软新闻-休闲,,,,,
2020年11月23日11点数据,白宇 我站在永宁门想着你,587921,软新闻-娱乐圈,,,,,
2020年05月21日11点数据,iOS13.5正式版推送,672373,软新闻-休闲,,,,,
2020年02月11日11点数据,全国新冠肺炎累计死亡破千,644893,社会热点-社会热点,1,,,,
2020年04月01日11点数据,纽约州从中国订购1.7万台呼吸机,637807,国际新闻-国际新闻（与中国无关）,,,,,
2020年10月14日11点数据,怀疑自己偷拿文物被诅咒主动归还,119302,社会热点-社会热点,,,,,
2020年05月20日23点数据,真人版海贼王计划今年开拍,159180,软新闻-娱乐圈,,,,,
2020年01月01日11点数据,2019恋爱报告,112910,软新闻-休闲,,,,,
2020年03月28日23点数据,蔡徐坤Lisa质疑申洁中心位,4431877,软新闻-娱乐圈,,,,,
2020年10月02日11点数据,10月1日全国5.5亿人出行,676816,软新闻-休闲,,,,,
2020年12月13日23点数据,陈飞宇为陈红庆生,408933,软新闻-娱乐圈,,,,,
2020年07月12日11点数据,男生高考完向母校陶行知雕像鞠躬,652435,软新闻-休闲,,,,,
2020年06月01日11点数据,王艺瑾黑天鹅造型,192274,软新闻-娱乐圈,,,,,
2020年02月09日23点数据,许光汉 聊天室,730173,软新闻-娱乐圈,,,,,
2020年06月14日11点数据,刘涛直播,166312,软新闻-娱乐圈,,,,,
2020年04月03日11点数据,棠雪爸爸,305927,软新闻-娱乐圈,,,,,
2019年12月11日11点数据,3岁女儿趴窗台上1小时没动,82275,软新闻-休闲,,,,,
2020年01月31日11点数据,萧亚轩 平平无奇恋爱小天才,135829,软新闻-娱乐圈,,,,,
2020年01月23日11点数据,英国为武汉出发的直飞航班设立隔离区,248206,国际新闻-国际新闻（与中国无关）,1,,,,
2020年11月25日11点数据,漠寒回应张培萌,230571,软新闻-娱乐圈,,回应,,,
2020年05月21日23点数据,猫咪间奇特的问候方式,260803,软新闻-休闲,,,,,
2019年11月16日11点数据,珍妮回去后打了一星,243475,软新闻-休闲,,,,,
2020年01月05日11点数据,中国工程师美国遭抢劫身亡,899167,国际新闻-中美关系,,,,,
2020年10月29日23点数据,国防部回应美方或袭击南海岛礁报道,346459,社会热点-社会热点,,回应,,,
2020年01月10日11点数据,电影亲爱的原型仍在寻子,2650511,软新闻-休闲,,,,,
2020年08月24日23点数据,李尖尖拒绝贺子秋,1193510,软新闻-娱乐圈,,,,,
2020年05月09日11点数据,全国晒被子地图,137338,软新闻-休闲,,,,,
2019年12月30日23点数据,你和其他女生说叠词的区别,185091,软新闻-休闲,,,,,
2020年08月09日11点数据,白岩松谈张玉环案,541385,软新闻-休闲,,,,,
2020年05月07日23点数据,张艺兴十面埋伏,362653,软新闻-娱乐圈,,,,,
2020年05月15日11点数据,董璇西装造型好A,950969,软新闻-娱乐圈,,,,,
2020年08月12日11点数据,拜登提名美国副总统候选人,432310,国际新闻-国际新闻（与中国无关）,,,,,
2020年02月11日23点数据,中央指导组约谈武汉副市长幕后,1924639,社会热点-社会热点,,,,,
2020年12月29日23点数据,皮尔卡丹去世,1612116,软新闻-娱乐圈,,,,,
2020年06月01日23点数据,杨天真将卸任所有艺人经纪业务,497092,软新闻-娱乐圈,,,,,
2020年06月19日23点数据,炙热的我们,491259,软新闻-娱乐圈,,,,,
2019年11月19日11点数据,国务院任免香港特别行政区政府主要官员,1303204,国际新闻-香港问题,,,,,
2020年12月21日11点数据,来新疆不要坐马拉雪橇,423894,软新闻-休闲,,,,,
2020年06月01日11点数据,我国将在7至8月执行首次火星探测,1116519,国际新闻-国际新闻（与中国无关）,,,,,
2020年01月14日23点数据,我国拟实施未成年人犯罪分级预防,122439,社会热点-社会热点,,,,,
2020年07月22日23点数据,收到信息需要秒回吗,2793812,软新闻-休闲,,,,,
2020年02月19日23点数据,海航,1119764,软新闻-休闲,,,,,
2020年08月30日23点数据,美军核潜艇现身挪威近海,502493,社会热点-社会热点,,,,,
2019年12月20日23点数据,17款APP自动续费不通知,164809,社会热点-社会热点,,,,,
2019年11月16日23点数据,摔跤爸爸原型格斗赛场首秀,354407,社会热点-社会热点,,,,,
2020年09月19日11点数据,北京试鸣防空警报,252466,社会热点-社会热点,,,,,
2019年11月30日23点数据,少年的你柬埔寨配音版,660929,软新闻-娱乐圈,,,,,
2020年08月22日23点数据,父亲欲接坠楼女儿被砸身亡,639729,社会热点-社会热点,,,,,
2019年12月05日23点数据,周杰伦吐槽小巨蛋,264931,软新闻-娱乐圈,,,,,
2020年05月12日11点数据,空降兵十五勇士的惊天一跳,240152,社会热点-社会热点,,,,,
2020年03月03日11点数据,纽约首例患者未在医院治疗,246085,国际新闻-国际新闻（与中国无关）,1,,,,
2020年01月07日23点数据,腾讯娱乐白皮书,227543,软新闻-娱乐圈,,,,,
2020年07月12日23点数据,那岚岳逼走容婳,239120,软新闻-娱乐圈,,,,,
2020年09月29日11点数据,台湾台东县海域发生5.0级地震,184081,社会热点-灾难,,,,,
2020年06月06日23点数据,父杀女案罪犯韦乐被执行死刑,199955,犯罪与审批,,,,,
2020年08月28日11点数据,NBA球员决定恢复季后赛,769909,软新闻-娱乐圈,,,,,
2020年06月16日11点数据,THE9六月行程,1267625,软新闻-娱乐圈,,,,,
2020年12月03日23点数据,骑爸爸最好的马 骑珍珠,340362,软新闻-娱乐圈,,,,,
2020年01月02日23点数据,白鲟灭绝,2040062,软新闻-休闲,,,,,
2020年07月12日23点数据,千岛湖泄洪后首网捕获50000斤鱼,212211,软新闻-休闲,,,,,
2020年11月13日11点数据,医生有多烦这句话,459734,软新闻-休闲,,,,,
2020年07月25日23点数据,iPhone11首次在印度生产,350414,软新闻-休闲,,,,,
2020年12月11日23点数据,S10官方纪录片,248300,软新闻-娱乐圈,,,,,
2020年02月01日11点数据,科学的事情我们不想说得太过,331709,软新闻-休闲,,,,,
2020年04月16日23点数据,虞书欣表白孔雪儿,1888106,软新闻-娱乐圈,,,,,
2020年10月04日11点数据,心疼兮夜,79264,软新闻-休闲,,,,,
2020年07月13日23点数据,外交部提醒近期谨慎前往澳大利亚,296973,国际新闻-国际新闻（与中国相关，非美国）,,,,,
2020年03月05日23点数据,花瓣耳饰,265108,软新闻-休闲,,,,,
2020年04月03日11点数据,女生有哪些奇奇怪怪的哭点,276603,软新闻-休闲,,,,,
2019年12月05日23点数据,汤唯红唇湿发,183975,软新闻-娱乐圈,,,,,
2020年07月03日11点数据,深圳拟设独生子女带薪护理假,230462,软新闻-休闲,,,,,
2020年07月28日11点数据,爷青结,78674,软新闻-休闲,,,,,
2020年01月28日11点数据,浪漫医生金师傅,198061,软新闻-休闲,,,,,
2020年02月09日23点数据,上海发布,533381,软新闻-休闲,,,,,
2019年12月24日23点数据,购车五年后的新车主平均胖20斤,408457,软新闻-休闲,,,,,
2020年02月14日23点数据,入沪道口已劝返8220名来沪人员,288600,社会热点-趋势,,,,,
2019年11月28日23点数据,日本大阪强制公务员下班,86348,国际新闻-国际新闻（与中国无关）,,,,,
2020年11月29日11点数据,伊朗外长扎里夫用中文发推,1326591,国际新闻-国际新闻（与中国无关）,,,,,
2020年05月18日23点数据,云南昭通5.0级地震,341827,社会热点-灾难,,,,,
2020年04月06日11点数据,特朗普批罗斯福号舰长,252094,国际新闻-国际新闻（与中国无关）,,,,,
2020年02月11日23点数据,工信部要求加大对中小企业帮扶力度,296053,社会热点-社会热点,,,,,
2020年08月11日23点数据,汤晶媚为爱洗新革命,2063583,软新闻-娱乐圈,,,,,
2020年10月11日11点数据,黄奕回眸,402645,软新闻-娱乐圈,,,,,
2020年06月16日11点数据,利用航班延误骗保300多万元,240255,社会热点-社会热点,,,,,
2020年12月29日11点数据,抑郁患者的真实自白,183788,软新闻-休闲,,,,,
2020年09月27日11点数据,黄明昊成快乐大本营12期常驻嘉宾,578000,软新闻-娱乐圈,,,,,
2020年03月25日11点数据,快船4亿美元收购新球馆,464362,软新闻-娱乐圈,,,,,
2020年07月04日11点数据,伊物降依物,559930,软新闻-休闲,,,,,
2020年01月13日11点数据,陶虹生图,2566496,软新闻-娱乐圈,,,,,
2020年11月27日23点数据,外交部回应澳机构接受美资助用于反华项目,336621,国际新闻-中美关系,,回应,,,
2020年02月20日23点数据,加拿大BC省将对富人加税,270286,国际新闻-国际新闻（与中国无关）,,,,,
2020年02月10日23点数据,北京共发生73起聚集性疫情,848773,社会热点-社会热点,1,,,,
2020年09月30日23点数据,黎曼表白路晋被拒,108456,软新闻-娱乐圈,,,,,
2020年02月27日11点数据,中国铁塔,238181,社会热点-社会热点,,,,,
2020年11月25日11点数据,嫦娥五号,108140,社会热点-社会热点,,,,,
2019年12月23日23点数据,精英律师,473478,软新闻-娱乐圈,,,,,
2020年05月16日11点数据,上海新增5例境外输入,321574,社会热点-趋势,,,,,
2020年12月04日11点数据,拜登称将要求美国人戴口罩100天,1238471,国际新闻-国际新闻（与中国无关）,,,,,
2020年05月23日11点数据,建议将产后抑郁诊疗费纳入生育险,227995,社会热点-社会热点,,,,,
2020年02月10日11点数据,寄生虫 最佳原创剧本,1008630,软新闻-娱乐圈,,,,,
2020年12月03日11点数据,丁辉被约谈,146437,软新闻-娱乐圈,,,,,
2020年10月17日11点数据,美国新冠肺炎超803万例,157739,国际新闻-国际新闻（与中国无关）,1,,,,
2020年11月08日11点数据,梅西梅开二度,988975,软新闻-娱乐圈,,,,,
2019年11月29日23点数据,新西游记7 七个龙珠,1248328,软新闻-娱乐圈,,,,,
2020年10月17日11点数据,男子持械挑衅被哨兵1秒撂倒,228095,社会热点-社会热点,,,,,
2020年06月30日23点数据,全球经济将因新冠疫情损失12万亿美元,438571,社会热点-社会热点,1,,,,
2020年11月11日23点数据,天津一份大比目鱼外包装样本核酸阳性,629679,社会热点-社会热点,,,,,
2019年12月16日11点数据,恋爱中的平淡期算冷暴力吗,387858,软新闻-休闲,,,,,
2020年07月12日11点数据,湘江浏阳河变鸳鸯锅,805610,社会热点-社会热点,,,,,
2020年03月23日11点数据,爸妈是怎么发现你谈恋爱的,597837,软新闻-休闲,,,,,
2019年11月28日11点数据,王俊凯王源为易烊千玺庆生,937897,软新闻-娱乐圈,,,,,
2020年12月31日11点数据,业主回应买556个车位14万单价转卖,589343,社会热点-社会热点,,回应,,,
2020年03月25日11点数据,澳大利亚全国群发短信呼吁别聚会,312769,国际新闻-国际新闻（与中国无关）,,,,,
2020年05月25日11点数据,月上重火定档,264328,软新闻-娱乐圈,,,,,
2020年02月24日11点数据,日本累计确诊新冠肺炎838例,971608,国际新闻-国际新闻（与中国无关）,1,,,,
2020年08月07日11点数据,A股,112316,社会热点-经济,,,,,
2020年12月23日11点数据,周迅 高圣远,763192,软新闻-娱乐圈,,,,,
2020年05月26日23点数据,何氏家族悼文,3204211,软新闻-休闲,,,,,
2019年11月21日23点数据,用文言文表达我爱你,258432,软新闻-休闲,,,,,
2020年09月28日11点数据,早餐自提柜成上班族新宠,356943,软新闻-休闲,,,,,
2020年04月07日11点数据,解封不等于解防,144446,社会热点-社会热点,,,,,
2020年06月17日23点数据,iG赢了,169591,软新闻-娱乐圈,,,,,
2020年01月28日23点数据,下一站是幸福,1109555,软新闻-娱乐圈,,,,,
2020年12月03日23点数据,广州恒大将改名广州队,452457,社会热点-社会热点,,,,,
2020年08月03日23点数据,河北男子连续三年酒驾被查,316602,社会热点-社会热点,,,,,
2020年05月22日23点数据,加拿大法院将宣布孟晚舟案重要裁决,203860,国际新闻-国际新闻（与中国无关）,,,,,
2020年05月12日11点数据,猪肉价格涨幅回落,164251,社会热点-社会热点,,,,,
2020年10月25日11点数据,四川失联中学老师遗体找到,481214,社会热点-社会热点,,,,,
2020年12月21日23点数据,多国确认出现变异新冠病毒确诊病例,211053,国际新闻-国际新闻（与中国无关）,1,,,,
2019年12月13日23点数据,无法取代的街头小吃,332627,软新闻-休闲,,,,,
2020年03月09日11点数据,不勤洗床单被套有多可怕,341018,软新闻-休闲,,,,,
2020年09月27日23点数据,亲爱的自己,504992,软新闻-娱乐圈,,,,,
2020年01月11日11点数据,女子偷空样板间给儿子装婚房,364726,软新闻-休闲,,,,,
2020年10月16日23点数据,新西游记8,221393,软新闻-娱乐圈,,,,,
2020年01月16日23点数据,有一种尴尬叫做替别人尴尬,459898,软新闻-休闲,,,,,
2020年05月12日11点数据,31省区市明确返校时间,275219,社会热点-社会热点,,,,,
2020年02月09日23点数据,刘传健再送医疗队赴湖北,625324,社会热点-社会热点,,,,,
2020年12月19日23点数据,鹿晗兑现医护粉丝承诺,557987,软新闻-娱乐圈,,,,,
2020年08月10日11点数据,朱一龙手心画太阳,133865,软新闻-娱乐圈,,,,,
2020年03月06日11点数据,北京新增4例境外输入新冠肺炎病例,561449,社会热点-趋势,1,,,,
2020年05月26日11点数据,世卫提醒各国应警惕第二波疫情,171239,国际新闻-国际新闻（与中国相关，非美国）,1,,,,
2020年10月12日23点数据,胖虎叫易烊千玺易大爷,1643456,软新闻-娱乐圈,,,,,
2020年05月27日23点数据,理科生才懂的梗,351371,软新闻-休闲,,,,,
2020年05月05日23点数据,台版101模仿黑人抬棺,492028,软新闻-娱乐圈,,,,,
2020年10月23日23点数据,千万不要买燕麦色的袜子,474323,软新闻-休闲,,,,,
2020年07月12日11点数据,SKP,122213,软新闻-休闲,,,,,
2020年05月17日11点数据,iPhone11降价,459359,社会热点-社会热点,,,,,
2020年01月22日23点数据,口罩头像,200101,软新闻-休闲,,,,,
2020年10月09日23点数据,北方民大回应传统文化课教女德,243804,社会热点-社会热点,,回应,,,
2020年12月04日11点数据,嫦娥五号上升器点火起飞,170344,社会热点-社会热点,,,,,
2019年11月27日11点数据,朝鲜族腌辣白菜就像过节,406672,软新闻-休闲,,,,,
2020年04月25日11点数据,美国新冠肺炎确诊病例超89万例,216346,国际新闻-国际新闻（与中国无关）,1,,,,
2020年03月19日11点数据,木村心美木村光希合照,627303,软新闻-娱乐圈,,,,,
2020年09月24日11点数据,当你英文不好时,234046,软新闻-休闲,,,,,
2020年10月30日11点数据,浙江新增5例境外输入无症状感染者,384804,社会热点-趋势,1,,,,
2019年12月03日23点数据,2019年度熊孩子,207340,软新闻-休闲,,,,,
2020年03月31日23点数据,印度返乡人员被用水枪消杀,377843,国际新闻-国际新闻（与中国无关）,,,,,
2020年08月09日23点数据,钟山说下半年有三项最大挑战,817867,社会热点-社会热点,,,,,
2020年01月02日11点数据,橘子洲烟花,64652,软新闻-休闲,,,,,
2020年10月02日23点数据,列车上乘务员突然跳起无价之姐,310091,软新闻-休闲,,,,,
2020年03月08日11点数据,日本网红猫咪猫叔去世,1568378,国际新闻-国际新闻（与中国无关）,,,,,
2020年05月19日11点数据,女孩网购1吨洋葱送前男友,618783,软新闻-休闲,,,,,
2020年08月02日11点数据,闪耀暖暖声明,467094,软新闻-娱乐圈,,,,,
2020年08月24日11点数据,台风,230893,社会热点-灾难,,,,,
2020年08月01日11点数据,世卫称新冠肺炎疫情影响将持续数十年,478381,国际新闻-国际新闻（与中国无关）,1,,,,
2020年01月30日11点数据,全国确诊新型肺炎病例,303037,社会热点-社会热点,1,,,,
2019年12月06日11点数据,你的寝室桌面是什么样子,108343,软新闻-休闲,,,,,
2020年12月30日23点数据,女神降临,399731,软新闻-休闲,,,,,
2020年06月03日23点数据,孙红雷 怎么没有乘风破浪的哥哥们,858014,软新闻-娱乐圈,,,,,
2020年06月10日11点数据,盲人练一年字才办成离婚,666237,软新闻-休闲,,,,,
2020年01月25日11点数据,当彭昱畅听到一直单身一直爽,2607198,软新闻-娱乐圈,,,,,
2020年05月22日23点数据,中国库存口粮可供全国人民吃一年,129102,社会热点-社会热点,,,,,
2020年03月27日11点数据,刘雨昕陆柯燃补妆,605624,软新闻-娱乐圈,,,,,
2020年12月23日11点数据,霍建华假设被影迷送豪车的反应,291533,软新闻-娱乐圈,,,,,
2020年11月25日11点数据,美国犹他州发现神秘金属物体,229914,国际新闻-国际新闻（与中国无关）,,,,,
2019年12月26日11点数据,95后全职妈妈占比八成,128513,软新闻-休闲,,,,,
2020年03月01日23点数据,油条配酱油还是豆浆,406188,软新闻-休闲,,,,,
2020年01月17日23点数据,PDD,484168,软新闻-娱乐圈,,,,,
2020年12月12日23点数据,十二兽首其实是时钟,468398,软新闻-休闲,,,,,
2020年04月04日11点数据,纽约向全体市民发放免费三餐,810021,国际新闻-国际新闻（与中国无关）,,,,,
2020年06月22日23点数据,怪你过分美丽,412678,软新闻-娱乐圈,,,,,
2020年03月05日23点数据,白滚滚上线,1693270,软新闻-娱乐圈,,,,,
2020年10月06日23点数据,陈延迪终于发力了,347180,软新闻-娱乐圈,,,,,
2020年08月21日11点数据,有童心的人生活有多有趣,225835,软新闻-休闲,,,,,
2020年03月06日23点数据,3CE春日元气玫瑰妆,1666267,软新闻-休闲,,,,,
2020年04月04日23点数据,宁南万人迎英雄遗体回乡,194252,社会热点-社会热点,,,,,
2020年05月19日11点数据,黄景瑜,238599,软新闻-娱乐圈,,,,,
2020年09月03日11点数据,杨天真的笑声,646956,软新闻-娱乐圈,,,,,
2020年09月12日23点数据,易烊千玺加盟街舞3总决赛,473405,软新闻-娱乐圈,,,,,
2020年05月11日11点数据,中国移动率先发布5G消息APP,125721,社会热点-社会热点,,,,,
2020年11月22日23点数据,女子办移动靓号被签833年套餐,209097,软新闻-休闲,,,,,
